latitude,longitude,disasters
34.28,69.11,4
41.18,19.49,1
36.42,3.08,3
-8.5,13.15,2
-36.3,-60,3
-35.15,149.08,7
48.12,16.22,1
23.43,90.26,2
13.05,-59.3,1
50.51,4.21,3
6.23,2.42,1
27.31,89.45,2
-16.2,-68.1,7
43.52,18.26,1
-15.47,-47.55,8
42.45,23.2,2
-3.16,29.18,1
11.33,104.55,4
45.27,-75.42,4
4.23,18.35,1
12.1,14.59,1
-33.24,-70.4,2
38.55,116.2,17
4.34,-74,11
-4.09,-74,1
9.55,-84.02,1
35.1,33.25,1
50.05,14.22,3
23.08,-82.22,2
-4.2,15.15,2
18.3,-69.59,2
-0.15,-78.35,4
30.01,31.14,1
13.4,-89.1,1
-26.4,31.18,1
9.02,38.42,2
-18.06,178.3,1
48.5,2.2,9
13.28,-16.4,1
52.3,13.25,3
41.43,44.5,1
5.35,-0.06,2
37.58,23.46,3
14.4,-90.22,3
9.29,-13.49,2
6.5,-58.12,1
18.4,-72.2,4
14.05,-87.14,1
28.37,77.13,19
-6.09,106.49,28
35.44,51.3,7
33.2,44.3,3
41.54,12.29,2
35.67,139.65,6
51.1,71.3,1
-1.17,36.48,3
42.54,74.46,1
17.97,102.63,2
-29.18,27.3,1
49.37,6.09,1
-18.55,47.31,2
-14,33.48,1
3.09,101.41,8
19.2,-99.1,11
47.88,106.9,2
33.97,-6.84,2
-25.58,32.32,2
16.45,96.2,1
-22.35,17.04,1
27.45,85.2,4
52.23,4.54,2
-41.19,174.46,4
13.27,2.06,2
9.05,7.32,3
39.07,125.81,1
41.99,21.42,1
23.37,58.36,2
33.4,73.1,8
9,-79.25,2
-25.1,-57.3,2
-12,-77,10
14.4,121.03,14
52.13,21,3
44.27,26.1,1
55.75,37.61,5
-1.59,30.04,2
44.81,20.46,1
46.04,14.33,1
48.1,17.07,1
2.02,45.25,2
-25.44,28.12,4
37.56,126.97,1
4.85,31.57,2
40.25,-3.45,3
6.88,79.91,5
15.31,32.35,2
5.5,-55.1,1
59.2,18.03,1
46.57,7.28,3
33.3,68.48,2
38.33,68.48,3
-6.16,35.75,2
13.45,100.35,6
-8.55,125.56,1
36.5,10.11,2
39.57,32.54,3
0.2,32.3,3
50.3,30.28,1
51.36,-0.05,1
39.91,-77.02,43
41.2,69.1,1
10.3,-66.55,2
21.05,105.55,8
15.39,44.19,2
-15.28,28.16,1
-17.43,31.02,2