country,poverty
Albania,1.27
Austria,0.57
Belarus,0
Belgium,0.08
Bosnia and Herzegovina,0.06
Bulgaria,0.87
Croatia,0.44
Cyprus,0.02
Czech Republic,0.01
Denmark,0.17
Estonia,0.23
France,0.02
Germany,0
Greece,0.14
Italy,1.42
Kosovo,0.44
Latvia,0.34
Lithuania,0.93
Luxembourg,0.28
Moldova,0.02
Montenegro,2.5
Netherlands,0.1
North Macedonia,3.4
Poland,0.24
Romania,2.37
Russia,0.03
Serbia,5.41
Slovenia,0
Slovakia,0.17
Spain,0.88
Sweden,21.13
Switzeland,0.03
Turkey,0.36
Ukraine,0
United Kingdom,0.3